variety,block,rate,yield_tha
Legend,1,6,8.6
OAC_Minto,1,6,9.5
Vernal,1,6,7.5
Legend,1,12,9.6
OAC_Minto,1,12,9.6
Vernal,1,12,8.9
Legend,1,18,11.5
OAC_Minto,1,18,9.2
Vernal,1,18,7.5
Legend,1,24,9.3
OAC_Minto,1,24,9.9
Vernal,1,24,8
Legend,2,6,9.1
OAC_Minto,2,6,9
Vernal,2,6,8
Legend,2,12,10.7
OAC_Minto,2,12,11.7
Vernal,2,12,8.9
Legend,2,18,12.1
OAC_Minto,2,18,12.1
Vernal,2,18,8.9
Legend,2,24,12.1
OAC_Minto,2,24,10.3
Vernal,2,24,8.1
Legend,3,6,9.7
OAC_Minto,3,6,9.4
Vernal,3,6,9.9
Legend,3,12,10
OAC_Minto,3,12,11.6
Vernal,3,12,7.5
Legend,3,18,11.6
OAC_Minto,3,18,10.5
Vernal,3,18,8.4
Legend,3,24,10.8
OAC_Minto,3,24,10.1
Vernal,3,24,7.9
