eunit,tier,plot,block,cultivar,long,lat,yield_tha,sequence
87001,1,1,1,Exp016,0,0,9.2,1
87002,1,2,1,Exp004,1.5,0,10,9
87003,1,3,1,Exp007,3,0,9.7,17
87004,1,4,1,Exp017,4.5,0,10.3,25
87005,1,5,1,Exp006,6,0,10.1,33
87006,1,6,1,Exp003,7.5,0,9.4,41
87007,1,7,1,Exp002,9,0,10.8,49
87008,1,8,1,Exp015,10.5,0,9.6,57
87009,1,9,1,120,12,0,9.8,65
87010,1,10,1,Exp021,13.5,0,9.5,73
87011,1,11,1,Exp020,15,0,11.1,81
87012,1,12,1,Exp013,16.5,0,10.3,89
87013,1,13,1,Exp014,18,0,11.8,97
87014,1,14,1,Exp010,19.5,0,9.1,96
87015,1,15,1,Arrow,21,0,10.7,88
87016,1,16,1,Exp001,22.5,0,11,80
87017,1,17,1,Exp012,24,0,9.7,72
87018,1,18,1,Exp008,25.5,0,11.8,64
87019,1,19,1,Exp011,27,0,10.8,56
87020,1,20,1,Exp005,28.5,0,9,48
87021,1,21,1,Exp009,30,0,11.6,40
87022,1,22,1,Exp022,31.5,0,11.9,32
87023,1,23,1,Saranac,33,0,10.3,24
87024,1,24,1,Exp019,34.5,0,10,16
87025,1,25,1,Exp018,36,0,12,8
87026,2,1,2,Exp002,0,7,8.7,2
87027,2,2,2,Saranac,1.5,7,7.7,10
87028,2,3,2,120,3,7,10.3,18
87029,2,4,2,Exp012,4.5,7,10.5,26
87030,2,5,2,Exp016,6,7,10.5,34
87031,2,6,2,Exp005,7.5,7,8.1,42
87032,2,7,2,Exp018,9,7,10.6,50
87033,2,8,2,Exp010,10.5,7,7.7,58
87034,2,9,2,Exp013,12,7,10.2,66
87035,2,10,2,Exp007,13.5,7,10.5,74
87036,2,11,2,Exp011,15,7,10.3,82
87037,2,12,2,Arrow,16.5,7,9.2,90
87038,2,13,2,Exp020,18,7,10.1,98
87039,2,14,2,Exp015,19.5,7,9.1,95
87040,2,15,2,Exp022,21,7,12.4,87
87041,2,16,2,Exp021,22.5,7,10,79
87042,2,17,2,Exp009,24,7,11.3,71
87043,2,18,2,Exp017,25.5,7,10.6,63
87044,2,19,2,Exp004,27,7,10.7,55
87045,2,20,2,Exp006,28.5,7,11.1,47
87046,2,21,2,Exp003,30,7,11.5,39
87047,2,22,2,Exp019,31.5,7,10.5,31
87048,2,23,2,Exp001,33,7,11.5,23
87049,2,24,2,Exp008,34.5,7,11.4,15
87050,2,25,2,Exp014,36,7,13,7
87051,3,1,3,Exp007,0,14,8.5,3
87052,3,2,3,Exp003,1.5,14,9.8,11
87053,3,3,3,Arrow,3,14,10.1,19
87054,3,4,3,Exp019,4.5,14,10.2,27
87055,3,5,3,Exp002,6,14,9.3,35
87056,3,6,3,Exp020,7.5,14,8.9,43
87057,3,7,3,Exp004,9,14,8.3,51
87058,3,8,3,Exp015,10.5,14,8,59
87059,3,9,3,Exp006,12,14,9,67
87060,3,10,3,Exp011,13.5,14,9.3,75
87061,3,11,3,Exp010,15,14,7.7,83
87062,3,12,3,120,16.5,14,7.3,91
87063,3,13,3,Exp016,18,14,10.2,99
87064,3,14,3,Exp013,19.5,14,10.3,94
87065,3,15,3,Exp014,21,14,12.3,86
87066,3,16,3,Exp005,22.5,14,7.7,78
87067,3,17,3,Exp008,24,14,10.4,70
87068,3,18,3,Saranac,25.5,14,8.2,62
87069,3,19,3,Exp022,27,14,11.7,54
87070,3,20,3,Exp017,28.5,14,11.3,46
87071,3,21,3,Exp001,30,14,11.3,38
87072,3,22,3,Exp021,31.5,14,11,30
87073,3,23,3,Exp018,33,14,12.1,22
87074,3,24,3,Exp009,34.5,14,12.2,14
87075,3,25,3,Exp012,36,14,11.3,6
87076,4,1,4,Exp005,0,21,7.9,4
87077,4,2,4,Exp019,1.5,21,8.9,12
87078,4,3,4,Exp004,3,21,9,20
87079,4,4,4,Exp012,4.5,21,9.6,28
87080,4,5,4,Exp016,6,21,9.1,36
87081,4,6,4,Exp022,7.5,21,9.6,44
87082,4,7,4,Exp009,9,21,10.4,52
87083,4,8,4,Exp010,10.5,21,8.1,60
87084,4,9,4,Exp020,12,21,9.6,68
87085,4,10,4,120,13.5,21,8.9,76
87086,4,11,4,Exp003,15,21,9.2,84
87087,4,12,4,Saranac,16.5,21,7.2,92
87088,4,13,4,Exp001,18,21,9.6,100
87089,4,14,4,Exp017,19.5,21,9,93
87090,4,15,4,Exp021,21,21,9.1,85
87091,4,16,4,Arrow,22.5,21,10.2,77
87092,4,17,4,Exp013,24,21,10.5,69
87093,4,18,4,Exp018,25.5,21,10.3,61
87094,4,19,4,Exp002,27,21,9.6,53
87095,4,20,4,Exp008,28.5,21,11.3,45
87096,4,21,4,Exp014,30,21,12.1,37
87097,4,22,4,Exp015,31.5,21,9.9,29
87098,4,23,4,Exp007,33,21,12.1,21
87099,4,24,4,Exp006,34.5,21,10.8,13
87100,4,25,4,Exp011,36,21,12.2,5
