id,species,pi,dy,sw,sl,cp
1,falcata,440538,36.5,0.16,2.4,15.5
2,sativa,439009,25,0.26,2.1,13
3,varia,440542,37.5,0.2,2.3,13.7
4,falcata,440539,43,0.16,2.8,14.5
5,sativa,439010,38,0.25,1.4,12.9
6,varia,467987,28.5,0.21,2,14.4
7,falcata,440540,39,0.18,2.5,13.8
8,sativa,440497,30,0.25,2.6,14.1
9,varia,467988,30,0.21,2.4,13.9
10,falcata,464726,30,0.18,2.1,14.1
11,sativa,440499,36,0.22,2.1,12.7
12,varia,467990,27.5,0.22,2.1,13.5
13,falcata,464727,30,0.16,2.7,15.2
14,sativa,440503,41.5,0.25,1.9,13.7
15,varia,467991,30,0.22,2,14.3
16,falcata,464728,25,0.18,2.3,15.3
17,sativa,440510,42.5,0.22,2.2,12.8
18,varia,467993,31,0.22,2,13.6
19,falcata,464729,30,0.17,2.8,14.3
20,sativa,440513,42,0.2,1.7,12.4
21,varia,467994,30,0.2,2,13.7
22,falcata,467970,36,0.22,2.6,13.3
23,sativa,468006,30,0.2,2,12.5
24,varia,468022,37.5,0.2,2.1,13.9
25,falcata,467983,36.5,0.18,2.3,14.2
26,sativa,468013,28.5,0.24,2.3,14
27,varia,468025,30,0.22,1.7,13.7
28,falcata,468016,30,0.19,2.4,15.1
29,sativa,502427,30,0.23,2.6,13.3
30,varia,468032,27.5,0.2,1.8,15.4
31,falcata,491407,31,0.15,2.1,14.2
32,sativa,502430,43.5,0.21,1.9,13.5
33,varia,468033,31,0.22,2,14.1
34,falcata,502438,41,0.14,2.7,12.6
35,sativa,502431,39,0.2,2.2,12.2
36,varia,468035,27.5,0.21,1.8,14.1
37,falcata,502441,31,0.11,2.3,13.4
38,sativa,502456,38,0.24,1.6,13.9
39,varia,468036,30,0.21,2,14
40,falcata,502443,30,0.12,2.6,15.3
41,sativa,502457,32,0.21,2.2,13.4
42,varia,468037,31,0.22,2.2,14.4
43,falcata,502445,30,0.17,2.5,14.4
44,sativa,502458,27.5,0.17,2,13.4
45,varia,468038,30,0.21,2.2,14.5
