method,hybrid,mpi
A,1,18.7
A,2,14.9
A,3,17.6
A,4,17.6
A,5,17.7
A,6,18
A,7,15.9
A,8,17.7
A,9,17.3
A,10,19.3
A,11,19.2
A,12,18.1
A,13,19.2
A,14,17.9
A,15,20.9
A,16,19.2
A,17,17.9
A,18,17.8
A,19,22
A,20,20.5
A,21,20.6
A,22,18.3
A,23,17.9
A,24,17.7
A,25,19.3
A,26,17.3
A,27,19.5
A,28,17.6
A,29,17.8
A,30,18.6
A,31,16.4
A,32,17.9
A,33,22.4
A,34,16.3
A,35,20.6
A,36,18.4
A,37,19.7
A,38,20.5
B,1,20.2
B,2,23.1
B,3,22.5
B,4,19.4
B,5,19.3
B,6,24.2
B,7,22.6
B,8,18.8
B,9,20.3
B,10,18.8
B,11,15.6
B,12,18.9
B,13,18.4
B,14,18
B,15,17.2
B,16,18.8
B,17,18.1
B,18,16.6
B,19,18.3
B,20,18
