eunit,variety,block,yield1,yield2,yield3
E11,E1,1,5.4,2.2,1.8
E12,E1,2,5.9,1.7,1.9
E13,E1,3,6,1.6,1.7
E14,E1,4,5.7,1.8,2.2
E21,E2,1,5.9,1.8,1.6
E22,E2,2,6.6,1.6,1.7
E23,E2,3,6.4,1.4,1.6
E24,E2,4,6.3,1.9,2
E31,E3,1,5.5,2.1,1.7
E32,E3,2,6.7,1.8,1.7
E33,E3,3,5.6,1.5,1.9
E34,E3,4,6.3,2,2.5
L11,L1,1,5.5,1.2,1.2
L12,L1,2,5,1.2,1.4
L13,L1,3,5.5,1.4,1.5
L14,L1,4,5.8,1.7,1.8
L21,L2,1,6.2,1.3,1.3
L22,L2,2,5.3,1.8,1.6
L23,L2,3,6,1.5,1.8
L24,L2,4,6.8,2.1,2.1
L31,L3,1,5.7,1.1,1.1
L32,L3,2,5.3,1.9,1.8
L33,L3,3,5.3,1.6,1.7
L34,L3,4,4.5,1.3,1.7
L41,L4,1,5.7,1.9,1.8
L42,L4,2,6,1.8,1.4
L43,L4,3,6,1.9,1.8
L44,L4,4,5.8,2.4,2.1
