block,trt,length_mm
1,Control,8.55
2,Control,7.64
3,Control,7.98
4,Control,8.55
5,Control,7.41
6,Control,8.09
7,Control,7.64
8,Control,7.64
9,Control,8.66
10,Control,7.75
1,2%fru,6.61
2,2%fru,6.95
3,2%fru,6.38
4,2%fru,6.61
5,2%fru,6.5
6,2%fru,6.38
7,2%fru,6.95
8,2%fru,6.84
9,2%fru,6.5
10,2%fru,6.61
1,2%glu,6.5
2,2%glu,6.61
3,2%glu,6.84
4,2%glu,6.73
5,2%glu,7.07
6,2%glu,6.84
7,2%glu,6.84
8,2%glu,6.5
9,2%glu,6.73
10,2%glu,6.95
1,1%g+f,6.61
2,1%g+f,6.73
3,1%g+f,6.61
4,1%g+f,6.95
5,1%g+f,6.5
6,1%g+f,6.38
7,1%g+f,6.61
8,1%g+f,6.5
9,1%g+f,6.5
10,1%g+f,6.73
1,2%suc,7.07
2,2%suc,7.52
3,2%suc,7.41
4,2%suc,7.18
5,2%suc,7.3
6,2%suc,7.07
7,2%suc,7.41
8,2%suc,7.41
9,2%suc,7.07
10,2%suc,7.64
