variety,row,column,yield_kgha
4,1,1,3699
42,1,1,4454
CX232,1,1,4027
33,1,1,3975
6,1,1,3463
Westag_97,1,2,4269
3,1,2,4161
CX232,1,2,4380
13,1,2,4021
92B61,1,2,4526
532,1,3,4364
109,1,3,4254
CX232,1,3,3905
82,1,3,3745
107,1,3,3505
31,1,4,4007
44,1,4,3740
CX232,1,4,4277
4,1,4,3651
23,1,4,3788
70,2,4,3927
110,2,4,4289
CX232,2,4,4444
11,2,4,3516
10,2,4,4114
4,2,3,4172
26,2,3,3814
CX232,2,3,4296
44,2,3,4247
17,2,3,4116
36,2,2,4238
143,2,2,4594
CX232,2,2,3898
Westag_97,2,2,4166
92B61,2,2,4242
3,2,1,3357
66,2,1,3924
CX232,2,1,3431
128,2,1,3623
24,2,1,3738
3,3,1,3284
92B61,3,1,4375
CX232,3,1,3748
Westag_97,3,1,4186
23,3,1,3371
154,3,2,3668
44,3,2,3849
CX232,3,2,4195
43,3,2,3819
171,3,2,3720
47,3,3,3918
45,3,3,3669
CX232,3,3,4231
29,3,3,3539
8,3,3,3504
82,3,4,3958
104,3,4,4026
CX232,3,4,3617
Westag_97,3,4,4632
92B61,3,4,4023
26,4,4,3576
41,4,4,4457
CX232,4,4,4263
21,4,4,4276
11,4,4,4558
9,4,3,4167
70,4,3,4179
CX232,4,3,4602
21,4,3,4240
33,4,3,3962
Westag_97,4,2,4164
30,4,2,3670
CX232,4,2,4217
92B61,4,2,4279
165,4,2,3713
31,4,1,3542
22,4,1,4031
CX232,4,1,4297
9,4,1,4078
87,4,1,4321
27,5,1,3670
23,5,1,4230
CX232,5,1,4331
104,5,1,4193
37,5,1,4230
244,5,2,4605
232,5,2,4408
CX232,5,2,4180
481,5,2,4555
90,5,2,4143
50,5,3,3758
26,5,3,3838
CX232,5,3,4388
41,5,3,4298
32,5,3,4013
32,5,4,4070
92B61,5,4,4203
CX232,5,4,4479
Westag_97,5,4,4348
61,5,4,4079
92B61,6,4,4271
Westag_97,6,4,4244
CX232,6,4,4371
261,6,4,3942
61,6,4,4351
44,6,3,3954
42,6,3,4224
CX232,6,3,4447
465,6,3,4277
23,6,3,4164
74,6,2,3314
21,6,2,3665
CX232,6,2,4350
123,6,2,3937
113,6,2,3954
Westag_97,6,1,3962
77,6,1,3649
CX232,6,1,4122
92B61,6,1,4621
108,6,1,4253
