eunit,variety,block,yield_kgha,mat_days,ht_cm
s01,92B61,1,4526,139,71
s02,CX232,1,4380,138,70
s03,Westag_97,1,4269,133,71
s04,92B61,2,4242,141,71
s05,CX232,2,3898,138,72
s06,Westag_97,2,4166,135,75
s07,92B61,3,4375,142,78
s08,CX232,3,3748,137,61
s09,Westag_97,3,4186,135,68
s10,92B61,4,4279,143,70
s11,CX232,4,4217,140,77
s12,Westag_97,4,4164,133,72
s13,92B61,5,4203,142,73
s14,CX232,5,4479,138,80
s15,Westag_97,5,4348,134,72
s16,92B61,6,4271,141,73
s17,CX232,6,4371,139,77
s18,Westag_97,6,4244,134,74
