variety,block,category,count
Narragansett,1,0,3
Narragansett,1,1,1
Narragansett,1,2,8
Narragansett,1,3,40
Narragansett,1,4,17
Narragansett,1,5,58
Narragansett,2,0,3
Narragansett,2,1,2
Narragansett,2,2,14
Narragansett,2,3,33
Narragansett,2,4,18
Narragansett,2,5,69
Vernal,1,0,7
Vernal,1,1,37
Vernal,1,2,31
Vernal,1,3,16
Vernal,1,4,3
Vernal,1,5,29
Vernal,2,0,13
Vernal,2,1,43
Vernal,2,2,34
Vernal,2,3,25
Vernal,2,4,4
Vernal,2,5,19
A4197,1,0,22
A4197,1,1,44
A4197,1,2,21
A4197,1,3,6
A4197,1,4,2
A4197,1,5,29
A4197,2,0,15
A4197,2,1,15
A4197,2,2,19
A4197,2,3,30
A4197,2,4,16
A4197,2,5,35
